Ma_Don_Vi,Ten_Don_Vi,SBD,Mon_Thi,Diem_Viet,Diem_Nghe,Diem_Doc,Diem_Noi,Tong_Diem,Giai,Lop,Truong
07,Bến Tre,07.06.01,Ngữ văn,,,,,13.000,Ba,12,THPT Chuyên Bến Tre
07,Bến Tre,07.06.02,Ngữ văn,,,,,13.000,Ba,11,THPT Chuyên Bến Tre
07,Bến Tre,07.06.03,Ngữ văn,,,,,12.500,K.Khích,12,THPT Chuyên Bến Tre
07,Bến Tre,07.06.05,Ngữ văn,,,,,12.500,K.Khích,12,THPT Chuyên Bến Tre
07,Bến Tre,07.06.08,Ngữ văn,,,,,12.500,K.Khích,11,THPT Chuyên Bến Tre
07,Bến Tre,07.07.03,Lịch sử,,,,,13.250,K.Khích,11,THPT Chuyên Bến Tre
07,Bến Tre,07.07.04,Lịch sử,,,,,14.750,Ba,12,THPT Chuyên Bến Tre
07,Bến Tre,07.07.07,Lịch sử,,,,,14.000,K.Khích,11,THPT Chuyên Bến Tre
07,Bến Tre,07.07.10,Lịch sử,,,,,14.000,K.Khích,11,THPT Chuyên Bến Tre
07,Bến Tre,07.08.04,Địa lí,,,,,12.250,K.Khích,11,THPT Chuyên Bến Tre
07,Bến Tre,07.08.05,Địa lí,,,,,12.500,K.Khích,12,THPT Chuyên Bến Tre
07,Bến Tre,07.08.08,Địa lí,,,,,14.000,Ba,12,THPT Chuyên Bến Tre
07,Bến Tre,07.08.10,Địa lí,,,,,14.250,Ba,11,THPT Chuyên Bến Tre
07,Bến Tre,07.09.09,Tiếng Anh,3.50,3.40,5.70,1.5,14.100,Ba,THPT Chuyên Bến Tre
07,Bến Tre,07.09.10,Tiếng Anh,3.80,2.70,5.50,1.6,13.600,K.Khích,THPT Chuyên Bến Tre
07,Bến Tre,07.09.07,Tiếng Anh,3.20,3,6.40,1.3,13.900,Ba,THPT Chuyên Bến Tre
08,Bình Định,08.01.01,Toán,,,,,22.000,Ba,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.01.02,Toán,,,,,17.000,K.Khích,11,THPT chuyên Chu Văn An
08,Bình Định,08.01.03,Toán,,,,,16.500,K.Khích,11,THPT chuyên Chu Văn An
08,Bình Định,08.01.04,Toán,,,,,16.000,K.Khích,11,THPT chuyên Chu Văn An
08,Bình Định,08.01.05,Toán,,,,,18.500,K.Khích,11,THPT chuyên Lê Quý Đôn
08,Bình Định,08.01.06,Toán,,,,,22.500,Nhì,12,THPT chuyên Chu Văn An
08,Bình Định,08.01.07,Toán,,,,,24.500,Nhì,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.01.09,Toán,,,,,24.000,Nhì,12,THPT chuyên Chu Văn An
08,Bình Định,08.01.08,Toán,,,,,17.500,K.Khích,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.02.01,Vật lí,,,,,21.000,Ba,11,THPT chuyên Chu Văn An
08,Bình Định,08.02.02,Vật lí,,,,,23.750,Ba,11,THPT số 1 Phù Cát
08,Bình Định,08.02.04,Vật lí,,,,,27.250,Nhì,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.02.03,Vật lí,,,,,25.250,Nhì,11,THPT chuyên Chu Văn An
08,Bình Định,08.02.05,Vật lí,,,,,16.750,K.Khích,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.02.06,Vật lí,,,,,27.500,Nhì,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.02.07,Vật lí,,,,,22.750,Ba,12,THPT chuyên Chu Văn An
08,Bình Định,08.02.08,Vật lí,,,,,19.250,Ba,12,THPT chuyên Chu Văn An
08,Bình Định,08.02.09,Vật lí,,,,,26.750,Nhì,11,THPT chuyên Lê Quý Đôn
08,Bình Định,08.03.02,Hoá học,,,,,13.000,K.Khích,11,THPT chuyên Lê Quý Đôn
08,Bình Định,08.03.03,Hoá học,,,,,17.000,Ba,11,THPT chuyên Lê Quý Đôn
08,Bình Định,08.03.04,Hoá học,,,,,15.500,K.Khích,11,THPT chuyên Lê Quý Đôn
08,Bình Định,08.03.05,Hoá học,,,,,19.250,Ba,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.03.08,Hoá học,,,,,16.625,Ba,11,THPT chuyên Lê Quý Đôn
08,Bình Định,08.03.09,Hoá học,,,,,18.125,Ba,12,THPT chuyên Chu Văn An
08,Bình Định,08.03.10,Hoá học,,,,,15.375,K.Khích,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.04.01,Sinh học,,,,,23.750,Nhì,12,THPT chuyên Chu Văn An
08,Bình Định,08.04.02,Sinh học,,,,,20.250,Ba,12,THPT chuyên Chu Văn An
08,Bình Định,08.04.05,Sinh học,,,,,19.500,Ba,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.05.01,Tin học,,,,,14.770,Nhì,12,THPT chuyên Chu Văn An
08,Bình Định,08.05.02,Tin học,,,,,11.885,Ba,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.05.03,Tin học,,,,,15.805,Nhì,12,THPT Tây Sơn
08,Bình Định,08.05.04,Tin học,,,,,9.890,K.Khích,12,THPT chuyên Chu Văn An
08,Bình Định,08.05.06,Tin học,,,,,11.395,Ba,12,Quốc học Quy Nhơn
08,Bình Định,08.05.07,Tin học,,,,,12.200,Ba,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.05.08,Tin học,,,,,7.980,K.Khích,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.05.09,Tin học,,,,,10.855,Ba,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.06.01,Ngữ văn,,,,,12.500,K.Khích,12,THPT số 2 Phù Mỹ
08,Bình Định,08.06.05,Ngữ văn,,,,,12.500,K.Khích,11,THPT số 2 Tuy Phước
08,Bình Định,08.06.06,Ngữ văn,,,,,12.250,K.Khích,12,THPT số 3 Tuy Phước
08,Bình Định,08.06.07,Ngữ văn,,,,,14.000,Nhì,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.06.08,Ngữ văn,,,,,13.500,Nhì,12,THPT số 1 Tuy Phước
08,Bình Định,08.07.01,Lịch sử,,,,,14.000,K.Khích,12,THPT chuyên Chu Văn An
08,Bình Định,08.07.02,Lịch sử,,,,,14.500,Ba,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.08.01,Địa lí,,,,,14.500,Ba,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.08.03,Địa lí,,,,,14.500,Ba,12,THPT chuyên Lê Quý Đôn
08,Bình Định,08.08.05,Địa lí,,,,,14.500,Ba,11,THPT chuyên Lê Quý Đôn
08,Bình Định,08.09.01,Tiếng Anh,3.20,3.60,5.40,1.4,13.600,K.Khích,THPT chuyên Lê Quý Đôn
08,Bình Định,08.09.03,Tiếng Anh,3.70,3.80,6.50,1.5,15.500,Nhì,THPT chuyên Lê Quý Đôn
08,Bình Định,08.09.04,Tiếng Anh,3.40,3.50,6.50,1.3,14.700,Ba,THPT chuyên Lê Quý Đôn
08,Bình Định,08.09.06,Tiếng Anh,3.90,2.50,4.70,1.7,12.800,K.Khích,THPT chuyên Chu Văn An
08,Bình Định,08.09.07,Tiếng Anh,4,2.90,4.90,1.6,13.400,K.Khích,THPT chuyên Lê Quý Đôn
09,Bình Dương,09.01.03,Toán,,,,,23.000,Nhì,12,THPT chuyên Hùng Vương
09,Bình Dương,09.01.06,Toán,,,,,18.500,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.01.07,Toán,,,,,16.500,K.Khích,11,THPT chuyên Hùng Vương
09,Bình Dương,09.02.02,Vật lí,,,,,15.750,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.02.07,Vật lí,,,,,14.000,K.Khích,11,THPT chuyên Hùng Vương
09,Bình Dương,09.02.09,Vật lí,,,,,24.250,Ba,12,THPT chuyên Hùng Vương
09,Bình Dương,09.03.01,Hoá học,,,,,21.000,Nhì,12,THPT chuyên Hùng Vương
09,Bình Dương,09.03.02,Hoá học,,,,,12.625,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.03.04,Hoá học,,,,,19.500,Ba,12,THPT chuyên Hùng Vương
09,Bình Dương,09.03.05,Hoá học,,,,,12.375,K.Khích,11,THPT chuyên Hùng Vương
09,Bình Dương,09.03.06,Hoá học,,,,,14.125,K.Khích,11,THPT chuyên Hùng Vương
09,Bình Dương,09.03.07,Hoá học,,,,,15.000,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.03.08,Hoá học,,,,,12.250,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.03.09,Hoá học,,,,,12.625,K.Khích,11,THPT chuyên Hùng Vương
09,Bình Dương,09.03.10,Hoá học,,,,,19.875,Ba,12,THPT chuyên Hùng Vương
09,Bình Dương,09.04.02,Sinh học,,,,,17.500,K.Khích,11,THPT chuyên Hùng Vương
09,Bình Dương,09.04.03,Sinh học,,,,,17.500,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.04.01,Sinh học,,,,,19.250,Ba,12,THPT chuyên Hùng Vương
09,Bình Dương,09.04.04,Sinh học,,,,,16.000,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.04.08,Sinh học,,,,,21.750,Ba,12,THPT chuyên Hùng Vương
09,Bình Dương,09.04.09,Sinh học,,,,,17.000,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.04.10,Sinh học,,,,,17.000,K.Khích,11,THPT chuyên Hùng Vương
09,Bình Dương,09.05.03,Tin học,,,,,9.715,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.05.06,Tin học,,,,,9.555,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.05.08,Tin học,,,,,13.160,Ba,12,THPT Trịnh Hoài Đức
09,Bình Dương,09.05.09,Tin học,,,,,13.920,Nhì,12,THPT chuyên Hùng Vương
09,Bình Dương,09.05.10,Tin học,,,,,17.320,Nhì,11,THPT chuyên Hùng Vương
09,Bình Dương,09.06.02,Ngữ văn,,,,,12.500,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.06.08,Ngữ văn,,,,,12.500,K.Khích,12,THPT chuyên Hùng Vương
09,Bình Dương,09.06.09,Ngữ văn,,,,,13.000,Ba,11,THPT chuyên Hùng Vương
09,Bình Dương,09.07.01,Lịch sử,,,,,13.500,K.Khích,11,THPT chuyên Hùng Vương
09,Bình Dương,09.07.03,Lịch sử,,,,,13.500,K.Khích,11,THPT chuyên Hùng Vương
09,Bình Dương,09.07.05,Lịch sử,,,,,15.500,Nhì,11,THPT chuyên Hùng Vương
09,Bình Dương,09.07.08,Lịch sử,,,,,13.500,K.Khích,11,THPT chuyên Hùng Vương
09,Bình Dương,09.07.09,Lịch sử,,,,,14.750,Ba,12,THPT chuyên Hùng Vương
09,Bình Dương,09.07.10,Lịch sử,,,,,13.500,K.Khích,11,THPT chuyên Hùng Vương
